"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hspurg","Hsp2","61","69.4046107978425","69.1659881387638","0.000848306168993714","0.00096467522668024","false","3021","707","14.2","0.001","0","true","-2960","710.398479728103","true","0","0.096467522668024",""
"","demographic","hispanic_subgroup","hspvnz","Hsp2","230","127.349911660747","33.6592868139941","0.00319853145686155","0.00176704919749438","false","13555","1267","5.7","0.006","0.001","true","-13325","1273.384074032654","true","-0.28014685431384495","0.20303849059637763","false"
"","demographic","mutually_exclusive_race_hispanic_origin","aiannh","Pop_2","205","146.321563687653","43.3898921158435","0.00157721425493937","0.00112528304485244","false","15017","875","3.5","0.002","0.001","true","-14812","887.1499309586852","true","0","0.15054108844539352",""
"","demographic","mutually_exclusive_race_hispanic_origin","asnnh","Pop_2","6666","790.370166441016","7.20774356865185","0.0512863913337847","0.00598715496869825","true","1167421","3568","0.2","0.138","0.001","true","-1160755","3654.4916199110376","true","-8.67136086662153","0.6070092636789668","true"
"","demographic","mutually_exclusive_race_hispanic_origin","blnh","Pop_2","23856","1651.73666181992","4.20898405075824","0.183541576906506","0.0121245727344273","true","1853055","3317","0.1","0.219","0.001","true","-1829199","3705.499021724336","true","-3.5458423093494","1.2165741407428399","false"
"","demographic","mutually_exclusive_race_hispanic_origin","hsp1","Pop_2","71908","2661.92486745964","2.25036353227743","0.553240598264295","0.0169646329046851","true","2457137","0","0","0.291","0","true","-2385229","2661.92486745964","true","26.2240598264295","1.6964632904685102","true"
"","demographic","mutually_exclusive_race_hispanic_origin","nhpinh","Pop_2","4","8","121.580547112462","0.0000307749122915","0.0000615465155757317","false","2794","488","10.6","0","0.001","true","-2790","488.0655693654286","true","0.00307749122915","0.10018921965857973","false"
"","demographic","mutually_exclusive_race_hispanic_origin","nhsp","Pop_2","58068","2034.41686976883","2.12979193429528","0.446759401735705","0.0126155289482412","true","5986576","0","0","0.709","0","true","-5928508","2034.41686976883","true","-26.22405982642949","1.26155289482412","true"
"","demographic","mutually_exclusive_race_hispanic_origin","othnh","Pop_2","687","308.462315364454","27.2947722456966","0.00528559118606512","0.00237069238492557","false","71758","3677","3.1","0.008","0.001","true","-71071","3689.9157171946354","true","-0.2714408813934881","0.25729715085760446","false"
"","demographic","mutually_exclusive_race_hispanic_origin","pop_2","Pop_2","129976","2695.49030790318","1.26069115210196","1","0","true","8443713","0","0","1","0","true","-8313737","2695.49030790318","true","0","0",""
"","demographic","mutually_exclusive_race_hispanic_origin","rc2plnh","Pop_2","2034","403.019850627733","12.0450771721982","0.0156490429002277","0.0030836947009276","true","162601","4044","1.5","0.019","0.001","true","-160567","4064.032603215678","true","-0.3350957099772298","0.32417854661480855","false"
"","demographic","mutually_exclusive_race_hispanic_origin","wtnh","Pop_2","24616","1173.76701265626","2.89866825603892","0.189388810241891","0.00813181249505844","true","2713930","1659","0","0.321","0.001","true","-2689314","2032.242603627825","true","-13.1611189758109","0.8193068683636712","true"
"","demographic","poppyramid_only","fpop0t5","Pop","3907","508.47615479981","7.91154454750471","0.0300593955807226","0.00386209041331577","true","269674","178","0","0.032","0","true","-265767","538.7318442416415","true","-0.19406044192774008","0.386209041331577","false"
"","demographic","poppyramid_only","fpop10t14","Pop","3401","447.692975151498","8.0021694879925","0.0261663691758478","0.00340141406681656","true","227093","2312","0.6","0.027","0","true","-223692","2354.946496207504","true","-0.08336308241522028","0.340141406681656","false"
"","demographic","poppyramid_only","fpop15t19","Pop","3426","414.907218544098","7.36203249146253","0.0263587123776697","0.00314503141756082","true","226700","355","0.1","0.027","0","true","-223274","546.0521953073716","true","-0.06412876223303021","0.314503141756082","false"
"","demographic","poppyramid_only","fpop20t24","Pop","7134","642.452332862135","5.47446776864704","0.0548870560718902","0.00481000489172473","true","293909","3345","0.7","0.035","0","true","-286775","3406.137108220983","true","1.988705607189019","0.481000489172473","true"
"","demographic","poppyramid_only","fpop25t29","Pop","9056","660.673898379526","4.43491022680576","0.0696744014279559","0.00487334761313664","true","405287","203","0","0.048","0","true","-396231","691.1577244016016","true","2.1674401427955905","0.487334761313664","true"
"","demographic","poppyramid_only","fpop30t34","Pop","6443","549.859072854127","5.18796887415458","0.0495706899735336","0.00410366040512013","true","366861","247","0","0.043","0","true","-360418","602.7885201295726","true","0.6570689973533606","0.410366040512013","false"
"","demographic","poppyramid_only","fpop35t39","Pop","4799","429.790646710698","5.44427817992348","0.0369222010217271","0.00321681649083364","true","315142","3125","0.6","0.037","0","true","-310343","3154.4167448198723","true","0","0.321681649083364",""
"","demographic","poppyramid_only","fpop40t44","Pop","3688","416.31958877766","6.86230523010075","0.028374469132763","0.00314853387014002","true","280418","3132","0.7","0.033","0","true","-276730","3159.548385450047","true","-0.4625530867237","0.314853387014002","false"
"","demographic","poppyramid_only","fpop45t49","Pop","3274","394.67708319587","7.32820032188525","0.0251892657105927","0.00299126705755646","true","281658","193","0","0.033","0","true","-278384","439.33927664164025","true","-0.7810734289407302","0.29912670575564604","false"
"","demographic","poppyramid_only","fpop50t54","Pop","3515","392.439804301246","6.787062036366","0.0270434541761556","0.00296678040888649","true","285202","202","0","0.034","0","true","-281687","441.3762567243511","true","-0.6956545823844404","0.29667804088864896","false"
"","demographic","poppyramid_only","fpop55t59","Pop","3144","380.788655293195","7.3626738302744","0.024189081061119","0.00288641744977432","true","272993","2843","0.6","0.032","0","true","-269849","2868.387874747765","true","-0.7810918938881004","0.288641744977432","false"
"","demographic","poppyramid_only","fpop5t9","Pop","3627","459.009803816868","7.69322623077457","0.0279051517203176","0.00348375747402169","true","234049","2327","0.6","0.028","0","true","-230422","2371.8387381944835","true","0","0.348375747402169",""
"","demographic","poppyramid_only","fpop60t64","Pop","2796","340.147027033899","7.39543305533956","0.0215116636917585","0.00257869388096354","true","256568","2933","0.7","0.03","0","true","-253772","2952.657955131275","true","-0.8488336308241498","0.257869388096354","true"
"","demographic","poppyramid_only","fpop65t69","Pop","2263","325.6009827995","8.74651914032667","0.0174109066289161","0.00247892691942313","true","214644","2853","0.8","0.025","0","true","-212381","2871.51963252909","true","-0.7589093371083899","0.24789269194231298","true"
"","demographic","poppyramid_only","fpop70t74","Pop","1914","311.464283666683","9.89237147706019","0.0147257955314827","0.00237678234412715","true","161099","2686","1","0.019","0","true","-159185","2703.998150886942","true","-0.42742044685173","0.237678234412715","false"
"","demographic","poppyramid_only","fpop75t79","Pop","1172","214.671842587704","11.1347781874801","0.00901704930140949","0.00164100653190358","true","124380","1845","0.9","0.015","0","true","-123208","1857.446903682579","true","-0.598295069859051","0.164100653190358","true"
"","demographic","poppyramid_only","fpop80t84","Pop","1069","234.546370681791","13.3378279096045","0.00822459530990337","0.00179645702623741","true","91235","1728","1.2","0.011","0","true","-90166","1743.845176614025","true","-0.2775404690096629","0.179645702623741","false"
"","demographic","poppyramid_only","fpop85pl","Pop","824","187.256508565123","13.8147747340516","0.00633963193204899","0.00143468918838217","true","111704","1844","1","0.013","0","true","-110880","1853.4834771316414","true","-0.666036806795101","0.143468918838217","true"
"","demographic","poppyramid_only","mpop0t5","Pop","3965","499.159293212097","7.65297099180285","0.0305056318089493","0.00378792961420681","true","282195","189","0","0.033","0","true","-278230","533.7424472533548","true","-0.2494368191050702","0.37879296142068103","false"
"","demographic","poppyramid_only","mpop10t14","Pop","3643","405.940882395454","6.7738834170951","0.0280282513694836","0.00306863276635377","true","237611","2370","0.6","0.028","0","true","-233968","2404.5140881267466","true","0.002825136948359841","0.306863276635377","false"
"","demographic","poppyramid_only","mpop15t19","Pop","3502","454.763674890596","7.89411998858831","0.0269434357112082","0.0034539226587077","true","228974","203","0.1","0.027","0","true","-225472","498.0150600132487","true","0","0.34539226587077",""
"","demographic","poppyramid_only","mpop20t24","Pop","6843","629.441021859872","5.59168375074897","0.0526481812026836","0.00471806102059387","true","277492","3174","0.7","0.033","0","true","-270649","3235.810872099913","true","1.9648181202683594","0.47180610205938706","true"
